feature_index,parcel_id,current_address,dcad_situs_address,centroid_lat,centroid_lng,category,reason,status,action
128,218384,829 DALMALLEY LN,,32.990889,-96.99774,OK,,OK,NONE
129,204850,830 APPLECROSS CT,,32.992281,-96.994596,OK,,OK,NONE
130,204918,205 TURNBERRY LN,,32.989726,-96.995939,OK,,OK,NONE
131,204934,138 TURNBERRY LN,,32.990899,-96.995245,OK,,OK,NONE
132,204912,141 TURNBERRY LN,,32.990422,-96.995354,OK,,OK,NONE
133,204935,131 FALLKIRK DR,,32.991354,-96.995454,OK,,OK,NONE
134,204958,133 KILMICHAEL DR,,32.992162,-96.996163,OK,,OK,NONE
135,204852,838 APPLECROSS CT,,32.992635,-96.99478,OK,,OK,NONE
136,218355,133 KILBRIDGE CT,,32.992766,-96.997961,OK,,OK,NONE
137,204954,149 KILMICHAEL DR,,32.991582,-96.996825,OK,,OK,NONE
138,218302,146 LAIRDS DR,,32.992484,-96.999555,OK,,OK,NONE
139,218289,876 KILBRIDGE LN,,32.993147,-96.997876,OK,,OK,NONE
140,218348,144 KILBRIDGE CT,,32.992355,-96.998639,OK,,OK,NONE
141,204877,804 KILBRIDGE LN,,32.99128,-96.994902,OK,,OK,NONE
142,204901,740 KILBRIDGE LN,,32.989715,-96.994655,OK,,OK,NONE
143,218358,859 KILBRIDGE LN,,32.992652,-96.997374,OK,,OK,NONE
144,204860,839 APPLECROSS CT,,32.992485,-96.995298,OK,,OK,NONE
145,204911,137 TURNBERRY LN,,32.990475,-96.995159,OK,,OK,NONE
146,218308,213 FALLKIRK DR,,32.990039,-96.996997,OK,,OK,NONE
147,218330,206 LAIRDS DR,,32.991846,-97.000055,OK,,OK,NONE
148,218380,845 DALMALLEY LN,,32.991211,-96.998543,OK,,OK,NONE
149,218342,139 LAIRDS DR,,32.992485,-96.99899,OK,,OK,NONE
150,204898,752 KILBRIDGE LN,,32.990164,-96.994519,OK,,OK,NONE
151,204962,146 KILMICHAEL DR,,32.991983,-96.997053,OK,,OK,NONE
152,204953,153 KILMICHAEL DR,,32.991482,-96.997036,OK,,OK,NONE
153,204937,139 FALLKIRK DR,,32.991187,-96.995878,OK,,OK,NONE
154,218335,850 DALMALLEY LN,,32.991686,-96.998448,OK,,OK,NONE
155,204925,206 TURNBERRY LN,,32.990058,-96.996392,OK,,OK,NONE
156,218347,140 KILBRIDGE CT,,32.992481,-96.99857,OK,,OK,NONE
157,204904,735 KILBRIDGE LN,,32.989385,-96.99516,OK,,OK,NONE
158,218328,214 LAIRDS DR,,32.991503,-97.000283,OK,,OK,NONE
159,204908,747 KILBRIDGE LN,,32.989855,-96.995309,OK,,OK,NONE
160,204862,816 KILBRIDGE LN,,32.991952,-96.995309,OK,,OK,NONE
161,204858,847 APPLECROSS CT,,32.992858,-96.995513,OK,,OK,NONE
162,218357,863 KILBRIDGE LN,,32.992682,-96.997538,OK,,OK,NONE
163,218336,854 DALMALLEY LN,,32.991774,-96.998636,OK,,OK,NONE
164,204846,837 FALLKIRK CT,,32.992769,-96.994307,OK,,OK,NONE
165,204961,142 KILMICHAEL DR,,32.992111,-96.996872,OK,,OK,NONE
166,204920,213 TURNBERRY LN,,32.98944,-96.996197,OK,,OK,NONE
167,204928,162 TURNBERRY LN,,32.990394,-96.996102,OK,,OK,NONE
168,204866,832 KILBRIDGE LN,,32.992537,-96.995949,OK,,OK,NONE
169,204847,833 FALLKIRK CT,,32.992595,-96.994196,OK,,OK,NONE
170,218346,136 KILBRIDGE CT,,32.992619,-96.998513,OK,,OK,NONE
171,218373,215 LAIRDS DR,,32.991161,-96.999789,OK,,OK,NONE
172,218349,148 KILBRIDGE CT,,32.992221,-96.998697,OK,,OK,NONE
173,218381,841 DALMALLEY LN,,32.99112,-96.99835,OK,,OK,NONE
174,218379,849 DALMALLEY LN,,32.991314,-96.998728,OK,,OK,NONE
175,218312,819 MULLRANY DR,,32.98989,-96.997656,OK,,OK,NONE
176,218299,134 LAIRDS DR,,32.992885,-96.999404,OK,,OK,NONE
177,218311,815 MULLRANY DR,,32.989775,-96.997448,OK,,OK,NONE
178,204947,156 FALLKIRK DR,,32.991234,-96.996662,OK,,OK,NONE
179,218303,150 LAIRDS DR,,32.992358,-96.999622,OK,,OK,NONE
180,218286,864 KILBRIDGE LN,,32.993097,-96.997372,OK,,OK,NONE
181,204949,164 FALLKIRK DR,,32.990936,-96.996953,OK,,OK,NONE
182,218383,833 DALMALLEY LN,,32.990969,-96.997943,OK,,OK,NONE
183,218284,856 KILBRIDGE LN,,32.993028,-96.997044,OK,,OK,NONE
184,204964,154 KILMICHAEL DR,,32.99179,-96.997453,OK,,OK,NONE
185,204897,756 KILBRIDGE LN,,32.990313,-96.994624,OK,,OK,NONE
186,204943,140 FALLKIRK DR,,32.991655,-96.995923,OK,,OK,NONE
187,218382,837 DALMALLEY LN,,32.991067,-96.99811,OK,,OK,NONE
188,204942,136 FALLKIRK DR,,32.991742,-96.99571,OK,,OK,NONE
189,204963,150 KILMICHAEL DR,,32.991882,-96.99725,OK,,OK,NONE
190,204845,841 FALLKIRK CT,,32.992981,-96.994386,OK,,OK,NONE
191,218374,211 LAIRDS DR,,32.991341,-96.999725,OK,,OK,NONE
192,204960,138 KILMICHAEL DR,,32.992258,-96.99672,OK,,OK,NONE
193,204894,125 TURNBERRY LN,,32.990702,-96.99438,OK,,OK,NONE
194,204909,751 KILBRIDGE LN,,32.989979,-96.995237,OK,,OK,NONE
195,218352,145 KILBRIDGE CT,,32.9923,-96.998022,OK,,OK,NONE
196,218376,203 LAIRDS DR,,32.991688,-96.999539,OK,,OK,NONE
197,218317,839 MULLRANY DR,,32.990276,-96.998631,OK,,OK,NONE
198,204872,111 FALLKIRK DR,,32.99179,-96.994143,OK,,OK,NONE
199,204856,854 APPLECROSS CT,,32.993227,-96.995275,OK,,OK,NONE
200,204932,146 TURNBERRY LN,,32.990798,-96.99559,OK,,OK,NONE
201,204848,829 FALLKIRK CT,,32.992393,-96.994207,OK,,OK,NONE
202,218356,867 KILBRIDGE LN,,32.992698,-96.997704,OK,,OK,NONE
203,204883,110 TURNBERRY LN,,32.991498,-96.99393,OK,,OK,NONE
204,218354,137 KILBRIDGE CT,,32.992598,-96.997979,OK,,OK,NONE
205,218339,862 DALMALLEY LN,,32.991957,-96.999084,OK,,OK,NONE
206,218329,210 LAIRDS DR,,32.991677,-97.000174,OK,,OK,NONE
207,204900,744 KILBRIDGE LN,,32.989863,-96.994601,OK,,OK,NONE
208,218353,141 KILBRIDGE CT,,32.992449,-96.997999,OK,,OK,NONE
209,218300,138 LAIRDS DR,,32.992751,-96.999435,OK,,OK,NONE
210,204853,842 APPLECROSS CT,,32.992808,-96.994837,OK,,OK,NONE
211,218283,852 KILBRIDGE LN,,32.992983,-96.996882,OK,,OK,NONE
212,204841,840 FALLKIRK CT,,32.992857,-96.993643,OK,,OK,NONE
213,204838,832 FALLKIRK CT,,32.992474,-96.993664,OK,,OK,NONE
214,204870,103 FALLKIRK DR,,32.991983,-96.993636,OK,,OK,NONE
215,204885,102 TURNBERRY LN,,32.991197,-96.993663,OK,,OK,NONE
216,204884,106 TURNBERRY LN,,32.991403,-96.993688,OK,,OK,NONE
217,204890,109 TURNBERRY LN,,32.99038,-96.993686,OK,,OK,NONE
218,204871,107 FALLKIRK DR,,32.9918,-96.993785,OK,,OK,NONE
219,204842,844 FALLKIRK CT,,32.993124,-96.993643,OK,,OK,NONE
220,336436,897 MACARTHUR BLVD,,32.99162,-96.974811,OUTLIER,num=897 street_median=253 ratio=3.55 street=MACARTHUR BLVD,NOT_FOUND,NONE
221,336435,695 SH 121 (BYPASS),,32.991452,-96.975338,NON_RESIDENTIAL,isolated: 1 residential neighbors within 200m,NON_RES_BLANK,BLANK
222,204922,218 TURNBERRY LN,,32.98958,-96.996587,OK,,OK,NONE
223,204946,152 FALLKIRK DR,,32.991361,-96.996496,OK,,OK,NONE
224,204944,144 FALLKIRK DR,,32.991574,-96.996124,OK,,OK,NONE
225,204945,148 FALLKIRK DR,,32.991475,-96.996317,OK,,OK,NONE
226,218360,851 KILBRIDGE LN,,32.99257,-96.997048,OK,,OK,NONE
227,218359,855 KILBRIDGE LN,,32.992613,-96.997211,OK,,OK,NONE
228,218288,872 KILBRIDGE LN,,32.993138,-96.997707,OK,,OK,NONE
229,218287,868 KILBRIDGE LN,,32.993122,-96.997538,OK,,OK,NONE
230,18042100040020000,4255 PATRIOT DR,,32.988758,-97.022309,NON_RESIDENTIAL,isolated: 1 residential neighbors within 200m,NON_RES_BLANK,BLANK
231,18042100050020000,4250 PATRIOT DR,,32.986972,-97.021936,NON_RESIDENTIAL,isolated: 0 residential neighbors within 200m,NON_RES_BLANK,BLANK
232,18042100050030000,4265 TRADE CENTER DR,,32.985424,-97.019625,NON_RESIDENTIAL,isolated: 2 residential neighbors within 200m,NON_RES_BLANK,BLANK
233,18042100040010000,4155 PATRIOT DR,,32.985534,-97.02529,OK,,OK,NONE
234,65177243010140100,307 FREEPORT PKWY,,32.984979,-97.026819,OK,,OK,NONE
235,18042100030020000,200 TRADE CENTER DR,,32.98471,-97.019265,NON_RESIDENTIAL,isolated: 1 residential neighbors within 200m,NON_RES_BLANK,BLANK
236,18042100050010100,4051 FREEPORT PKWY,,32.984946,-97.024453,OUTLIER,num=4051 street_median=635 ratio=6.38 street=FREEPORT PKWY,NOT_FOUND,NONE
237,65177243010120300,301 FREEPORT PKWY,,32.98455,-97.026463,OK,,OK,NONE
238,65177243010120200,309 FREEPORT PKWY,,32.984643,-97.02681,OK,,OK,NONE
239,65132715510010600,370 VISTA RIDGE BLVD,,32.989026,-96.996717,OK,,OK,NONE
240,180010200102R0000,370 STATE HWY 121,,32.989129,-96.997375,OUTLIER,num=370 street_median=1154 ratio=0.32 street=STATE HWY 121,NOT_FOUND,NONE
241,180998000B0030000,429 LEISURE LN,,32.971916,-97.001761,OK,,OK,NONE
242,180998000A0200000,224 LEISURE LN,,32.971836,-97.00046,OK,,OK,NONE
243,180022000A02X0000,100 FITNESS CT,,32.971709,-96.995686,OK,,OK,NONE
244,180998000A0500000,428 LEISURE LN,,32.97184,-97.002316,OK,,OK,NONE
245,188700000A0020000,1030 W SANDY LAKE RD,,32.974471,-97.025031,NON_RESIDENTIAL,isolated: 2 residential neighbors within 200m,NON_RES_BLANK,BLANK
246,180998000B0290000,457 LEISURE LN,,32.971733,-97.001514,OK,,OK,NONE
247,180998000A0530000,440 LEISURE LN,,32.971374,-97.002313,OK,,OK,NONE
